Age,BootcampLoanYesNo,BootcampName,BootcampRecommend,ChildrenNumber,CityPopulation,CodeEventConferences,CodeEventDjangoGirls,CodeEventFCC,CodeEventGameJam,CodeEventGirlDev,CodeEventHackathons,CodeEventMeetup,CodeEventNodeSchool,CodeEventNone,CodeEventOther,CodeEventRailsBridge,CodeEventRailsGirls,CodeEventStartUpWknd,CodeEventWkdBootcamps,CodeEventWomenCode,CodeEventWorkshops,CommuteTime,CountryCitizen,CountryLive,EmploymentField,EmploymentFieldOther,EmploymentStatus,EmploymentStatusOther,ExpectedEarning,FinanciallySupporting,FirstDevJob,Gender,GenderOther,HasChildren,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasHomeMortgage,HasServedInMilitary,HasStudentDebt,HomeMortgageOwe,HoursLearning,ID.x,ID.y,Income,IsEthnicMinority,IsReceiveDisabilitiesBenefits,IsSoftwareDev,IsUnderEmployed,JobApplyWhen,JobInterestBackEnd,JobInterestDataEngr,JobInterestDataSci,JobInterestDevOps,JobInterestFrontEnd,JobInterestFullStack,JobInterestGameDev,JobInterestInfoSec,JobInterestMobile,JobInterestOther,JobInterestProjMngr,JobInterestQAEngr,JobInterestUX,JobPref,JobRelocateYesNo,JobRoleInterest,JobWherePref,LanguageAtHome,MaritalStatus,MoneyForLearning,MonthsProgramming,NetworkID,Part1EndTime,Part1StartTime,Part2EndTime,Part2StartTime,PodcastChangeLog,PodcastCodeNewbie,PodcastCodePen,PodcastDevTea,PodcastDotNET,PodcastGiantRobots,PodcastJSAir,PodcastJSJabber,PodcastNone,PodcastOther,PodcastProgThrowdown,PodcastRubyRogues,PodcastSEDaily,PodcastSERadio,PodcastShopTalk,PodcastTalkPython,PodcastTheWebAhead,ResourceCodecademy,ResourceCodeWars,ResourceCoursera,ResourceCSS,ResourceEdX,ResourceEgghead,ResourceFCC,ResourceHackerRank,ResourceKA,ResourceLynda,ResourceMDN,ResourceOdinProj,ResourceOther,ResourcePluralSight,ResourceSkillcrush,ResourceSO,ResourceTreehouse,ResourceUdacity,ResourceUdemy,ResourceW3S,SchoolDegree,SchoolMajor,StudentDebtOwe,YouTubeCodeCourse,YouTubeCodingTrain,YouTubeCodingTut360,YouTubeComputerphile,YouTubeDerekBanas,YouTubeDevTips,YouTubeEngineeredTruth,YouTubeFCC,YouTubeFunFunFunction,YouTubeGoogleDev,YouTubeLearnCode,YouTubeLevelUpTuts,YouTubeMIT,YouTubeMozillaHacks,YouTubeOther,YouTubeSimplilearn,YouTubeTheNewBoston,BootcampFinish,Set
5,0,141,1,5,0,0,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,4,5,67,11,36,2,24,63,2,2,3,3,2,0,0,1,2,0,2,61,17,413,668,4,0,0,0,1,3,1,1,1,1,1,0,1,1,1,12,1,1,1,4,1,142,1,44,3,0,12,579,1000,1002,868,868,1,1,1,1,1,1,1,0,1,51,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,70,0,1,0,1,1,1,1,8,197,77,1,1,1,1,1,1,1,0,1,1,1,1,1,1,64,1,1,1.0,Train
27,0,37,1,5,2,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,3,58,49,11,36,7,24,12,2,2,3,3,2,0,0,1,2,1,2,61,28,511,195,7,0,0,0,1,3,1,1,1,1,1,0,1,1,1,12,1,1,1,6,2,142,0,52,3,23,4,788,993,995,860,861,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,1,1,1,1,1,1,1,2,55,77,1,1,1,1,1,1,1,1,1,1,0,1,1,1,64,1,1,1.0,Train
13,0,43,0,5,2,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,3,76,67,12,36,7,24,35,2,2,3,3,2,1,0,1,0,0,1,61,14,250,203,26,1,0,0,1,3,1,1,1,1,1,0,1,1,0,12,0,1,1,3,0,66,1,14,3,56,6,741,890,892,779,779,1,0,1,0,1,1,1,1,1,51,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,70,1,1,0,0,0,1,0,7,197,65,1,1,1,1,1,1,1,0,1,0,1,0,0,1,64,1,1,1.0,Train
12,0,141,0,5,0,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,5,62,18,3,36,6,24,63,2,1,3,3,2,0,0,1,2,0,2,61,22,171,415,111,1,0,1,1,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,43,3,122,2,889,637,639,571,571,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,1,1,1,1,1,0,1,8,197,77,1,1,1,1,1,1,1,0,1,1,1,1,1,1,64,1,1,1.0,Train
18,0,95,1,5,0,0,1,1,1,1,0,1,1,1,62,1,1,1,1,1,0,0,76,67,12,36,2,24,63,2,0,3,3,2,0,0,1,2,0,2,61,10,417,261,111,1,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,36,38,351,67,69,60,59,1,1,1,1,1,1,1,0,1,51,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,70,1,1,0,0,1,1,1,7,197,77,0,1,1,1,1,0,1,1,1,0,0,1,1,0,64,1,1,1.0,Train
15,0,141,1,5,0,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,6,11,67,14,36,5,24,63,2,1,3,3,2,1,0,1,0,0,0,61,24,613,762,111,0,0,1,2,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,15,3,30,8,189,915,917,797,797,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,70,0,1,0,1,0,1,0,3,197,77,1,1,1,1,1,1,1,1,1,0,1,1,1,1,64,1,1,0.0,Train
15,0,27,1,5,2,0,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,4,76,67,12,36,2,24,63,2,1,1,3,2,0,0,1,2,0,2,61,2,831,451,91,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,82,40,800,538,542,485,485,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,70,1,1,0,1,1,1,1,2,33,77,1,1,1,1,1,1,1,1,0,1,1,1,1,1,64,1,1,1.0,Train
16,0,53,1,5,1,1,1,1,1,1,0,1,1,1,62,1,1,1,1,1,0,2,43,35,12,36,2,24,63,2,1,1,3,2,0,0,1,2,0,2,61,37,999,288,26,1,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,15,3,6,4,701,1018,1020,881,880,1,1,1,1,1,1,1,1,1,51,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,70,0,1,0,1,1,1,0,8,197,77,1,1,1,1,1,1,1,1,1,0,1,1,1,1,64,1,1,1.0,Train
13,0,12,1,5,2,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,2,76,67,12,36,6,24,63,2,1,3,3,2,1,0,1,0,0,1,61,17,81,552,16,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,67,30,674,235,243,217,217,1,1,1,1,1,1,1,1,1,51,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,70,1,1,0,0,1,0,1,2,86,44,1,1,1,1,1,1,1,1,1,0,1,0,1,1,64,1,1,1.0,Train
13,0,55,0,5,0,1,1,1,1,1,1,1,1,1,62,1,1,1,1,1,1,1,76,67,12,36,2,24,63,2,1,3,3,2,0,0,1,2,0,2,61,36,976,504,111,0,0,1,0,5,1,1,1,1,1,1,1,1,1,12,1,1,1,7,2,212,3,14,3,67,9,581,348,355,312,312,1,1,1,1,1,1,1,0,1,51,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,70,0,1,1,1,1,1,1,2,32,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,1,1.0,Train
